item_name,viewers,cart_users,buyers,avg_price,units_purchased,revenue,view_to_cart_rate,conversion_rate
Google Navy Speckled Tee,13696,3527,129,29.96,178,4440.0,25.75,0.94
Google Campus Bike Eco Tee Navy,11339,3063,41,24.97,56,1165.0,27.01,0.36
Google Land & Sea Cotton Cap,10796,3569,104,16.95,167,2425.0,33.06,0.96
YouTube Leather Strap Hat Black,10543,3198,67,16.85,102,1065.0,30.33,0.64
Android SM S/F18 Sticker Sheet,10007,2886,96,2.99,186,342.0,28.84,0.96
Android Large Removable Sticker Sheet,9918,2845,50,2.99,134,234.0,28.69,0.5
Google F/C Long Sleeve Tee Charcoal,9640,2548,0,29.95,0,0.0,26.43,0.0
Google Women's Striped L/S,9541,3027,0,28.98,0,0.0,31.73,0.0
YouTube Twill Sandwich Cap Black,9519,2707,87,12.97,113,1299.0,28.44,0.91
Google Sherpa Zip Hoodie Charcoal,9415,2009,92,68.69,115,6397.0,21.34,0.98
Google Speckled Beanie Navy,9314,3062,89,19.94,142,2424.0,32.88,0.96
Google Heather Green Speckled Tee,9052,1843,65,29.91,76,1735.0,20.36,0.72
Google Small Standard Journal Navy,8208,2554,47,12.89,169,992.0,31.12,0.57
Google F/C Long Sleeve Tee Ash,8184,2431,0,29.97,0,0.0,29.7,0.0
Google Land & Sea Journal Set,8106,1894,44,14.96,72,903.0,23.37,0.54
Android Super Hero 3D Framed Art,8050,2180,27,39.84,31,500.0,27.08,0.34
Android Large Trace Journal Black,7988,2360,22,15.93,32,217.0,29.54,0.28
Google Utility Bag Grey,7812,1744,60,9.91,131,846.0,22.32,0.77
Google Eco Tee Black,7683,1826,0,21.94,0,0.0,23.77,0.0
Android Techie 3D Framed Art,7661,2227,36,39.77,41,688.0,29.07,0.47
Google Tee Yellow,7631,2236,33,21.92,39,363.0,29.3,0.43
Android Small Trace Journal Black,7510,2154,14,12.95,31,166.0,28.68,0.19
Google Blue Stojo Cup,7304,1509,37,24.94,59,1240.0,20.66,0.51
Android Iconic Hat Black,7079,2576,28,15.85,35,329.0,36.39,0.4
Google Tee Green,6928,1984,17,21.91,18,164.0,28.64,0.25
YouTube Women's Favorite Tee White,6885,1989,5,21.99,6,56.0,28.89,0.07
Google Laptop Sleeve Charcoal,6861,1425,12,19.99,13,224.0,20.77,0.17
Android Iconic Hat Green,6818,2569,25,15.99,28,391.0,37.68,0.37
Google Land & Sea Nalgene Water Bottle,6782,1406,52,24.93,70,1455.0,20.73,0.77
YouTube Jotter Task Pad,6731,1441,52,2.99,154,413.0,21.41,0.77
Google Land & Sea Mug,6692,1458,36,16.94,63,906.0,21.79,0.54
Google Land & Sea Tech Taco,6670,1438,23,3.99,38,125.0,21.56,0.34
Google Leather Strap Hat Black,6544,2532,34,16.99,57,826.0,38.69,0.52
Google Speckled Beanie Grey,6391,2518,64,19.94,101,1656.0,39.4,1.0
Android Garden Tee Orange,6285,1353,27,28.69,35,585.0,21.53,0.43
Android Iconic Beanie,6161,2503,26,9.99,30,268.0,40.63,0.42
Android Iconic Hat White,5931,2447,23,15.98,29,394.0,41.26,0.39
